index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
8319,575,3,0,0,584000004,True,1,-233.74319458007807,-83.42529296875,702.7698974609375,450.575439453125,80.41436767578125,-25.131074905395508,0.9829640984535216,0.1754299700260162,-0.0548253245651721,457.9069980971675
8323,575,7,0,0,584000008,True,1,325.76092529296875,4.73870849609375,518.325927734375,469.7199401855469,141.34486389160156,3523.4814453125,0.1320379376411438,0.0397319383919239,0.9904481172561646,3556.458640771305
8324,575,8,0,0,584000009,True,1,-2.9476318359375,-133.27330017089844,847.3419189453125,-78.35067749023438,-766.4298095703125,12016.9404296875,-0.0065066600218415,-0.0636484399437904,0.997951090335846,12041.611328125
8325,575,9,0,0,584000010,True,1,42.890869140625,34.870697021484375,579.7058715820312,-2094.132568359375,-2873.33203125,16190.564453125,-0.1263324469327926,-0.1733391135931015,0.9767259955406188,16572.952713369632
8327,575,11,0,0,584000012,True,1,-80.0501708984375,17.386703491210938,712.0698852539062,337.6642761230469,-597.2030639648438,1531.002197265625,0.2012676447629928,-0.3559679090976715,0.9125667810440063,1677.4114039015271
8328,575,12,0,0,584000013,True,1,-16.070465087890625,-97.93328857421876,888.2619018554688,-160.4925537109375,-1592.885498046875,11415.4501953125,-0.0139229856431484,-0.138185366988182,0.9903085827827454,11523.651505710695
8329,575,13,0,0,584000014,True,1,246.7542724609375,-59.61729431152344,670.4058837890625,-558.8319702148438,-1632.036865234375,7084.17724609375,-0.0766448602080345,-0.2238369435071945,0.9716082811355592,7289.177072367563
8331,575,15,0,0,584000016,True,1,-30.901519775390625,46.03070068359375,431.3458862304688,-432.436279296875,-408.1091003417969,406.8381958007813,-0.600217342376709,-0.5664514303207397,0.5646874308586121,719.9280702180147
8332,575,16,0,0,584000018,True,1,-11.88775634765625,-50.689300537109375,497.5618896484375,-784.1115112304688,-596.2612915039062,8535.5126953125,-0.0912588760256767,-0.0693959146738052,0.9934062957763672,8592.1669921875
8334,575,18,0,0,584000020,True,1,-9223372013568.0,-9223372013568.0,-9223372013568.0,-277.26824951171875,-585.1865844726562,2111.800048828125,-0.125526025891304,-0.2649281024932861,0.9560628533363342,2208.209495899305
8335,575,19,0,0,584000021,True,1,-144.27976989746094,-57.38529968261719,566.6859130859375,-468.8221435546875,-844.8634643554688,1959.647705078125,-0.2145732790231704,-0.3866820931434631,0.8969030976295471,2184.3101079252374
8336,576,0,0,0,586000000,True,1,-324.8030700683594,-161.54530334472656,852.5499267578125,428.157470703125,-78.99459075927734,1430.0537109375,0.2864193916320801,-0.0528440661728382,0.9566459059715272,1494.1950851568188
8339,576,3,0,0,586000003,True,1,119.24740600585938,-111.69729614257812,699.421875,395.1925354003906,379.1768798828125,2303.37353515625,0.1669176518917083,0.1601531058549881,0.9728769063949584,2367.58984375
8341,576,5,0,0,586000005,True,1,-346.6584777832031,-22.789291381835938,884.169921875,1701.515869140625,-1118.9884033203125,10508.341796875,0.1589628756046295,-0.1045406758785247,0.9817341566085817,10701.248408129424
8342,576,6,0,0,586000006,True,1,113.57998657226562,18.87471008300781,649.5739135742188,-2525.13671875,-2423.565185546875,18815.5625,-0.1319413781166076,-0.1266341507434845,0.9831354022026062,19138.322265625
8345,576,9,0,0,586000009,True,1,81.71044921875,72.44268798828125,491.9819030761719,-320.314697265625,1039.7086181640625,4540.62451171875,-0.0686025097966194,0.2226767092943191,0.9724756479263306,4669.1396484375
